tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0259952	video	Cumback Pussy 29	Cumback Pussy 29	1	2000.0		140	Adult
tt0259955	short	Cuôc xe dêm	Cuôc xe dêm	0	2000.0		19	Drama,Short
tt0259974	movie	Digimon: The Movie	Digimon: The Movie	0	2000.0		82	Action,Adventure,Animation
tt0259981	movie	Djomeh	Djomeh	0	2000.0		94	Drama
tt0259991	movie	Games of the Heart	Du pic au coeur	0	2001.0		85	Comedy,Romance
tt0259995	movie	L'educazione di Giulio	L'educazione di Giulio	0	2000.0		90	
tt0260000	movie	Enamored	Enamored	0	2000.0			Drama
tt0260023	movie	Margarette's Feast	A Festa de Margarette	0	2003.0		90	Comedy
tt0260032	video	Freshman Fantasies 26	Freshman Fantasies 26	1	2000.0		103	Adult
tt0260036	movie	Felix and Lola	Félix et Lola	0	2001.0		89	Drama,Romance
tt0260042	movie	False Prophets	False Prophets	0	2006.0			Drama
tt0260054	movie	Gojoe: Spirit War Chronicle	Gojô reisenki: Gojoe	0	2000.0		138	Action,History
tt0260071	video	The Hiking Viking	The Hiking Viking	0	2000.0			
tt0260095	tvSeries	The Independents	The Independents	0	2000.0			
tt0260115	video	Just 18 4: Student Bodies	Just 18 4: Student Bodies	1	2000.0		75	Adult
tt0260124	short	Dessert	Kinu'ach	0	2000.0		19	Drama,Short
tt0260136	movie	The Avenging Fist	Kuen san	0	2001.0		92	Action,Fantasy,Sci-Fi
tt0260141	short	Locked Up Down Shorty's	Locked Up Down Shorty's	0	2001.0			Short
tt0260162	video	The Mangler 2	The Mangler 2	0	2002.0		97	Horror,Sci-Fi
tt0260185	movie	Mischka	Mischka	0	2002.0		117	Comedy,Drama,Family
tt0260188	movie	Mr. Boogie	Mr. Boogie	0	2000.0		90	Comedy
tt0260193	movie	The Left-Hand Side of the Fridge	La moitié gauche du frigo	0	2000.0		90	Comedy
tt0260197	video	More Dirty Debutantes 134	More Dirty Debutantes 134	1	2000.0		93	Adult
tt0260198	movie	C'est la vie	C'est la vie	0	2001.0		113	Drama
tt0260214	movie	Méchant party	Méchant party	0	2000.0		80	Comedy
tt0260216	movie	Night Class	Night Class	0	2001.0		90	Crime,Thriller
tt0260225	movie	Ne dis rien	Ne dis rien	0	2001.0		84	Drama
tt0260229	video	Nineteen Video Magazine 33	Nineteen Video Magazine 33	1	2000.0			Adult
tt0260236	video	North Pole #13	North Pole #13	1	2000.0			Adult
tt0260245	short	On n'est pas des sauvages!	On n'est pas des sauvages!	0	2000.0		6	Short
tt0260248	video	Open Wide and Say Ahh! 6	Open Wide and Say Ahh! 6	1	2000.0		85	Adult
tt0260252	movie	L'origine du monde	L'origine du monde	0	2001.0		97	
tt0260261	movie	Outlaw	Outlaw	0	2001.0			Action,Drama
tt0260265	video	Pantyhoes	Pantyhoes	1	2000.0		101	Adult
tt0260275	video	Philmore Butts' Hot Ass Bitches	Philmore Butts' Hot Ass Bitches	1	2000.0			Adult
tt0260277	short	Pink Eye	Pink Eye	0	2003.0		7	Short
tt0260280	video	Pissy Girls	Pissy Girls	1	2000.0		70	Adult
tt0260283	movie	The Black Beach	La plage noire	0	2001.0		114	Drama
tt0260293	movie	The Curse	A Praga	0	2021.0		80	Drama,Horror
tt0260315	movie	Las razones de mis amigos	Las razones de mis amigos	0	2000.0		105	Drama,Romance
tt0260316	video	Real Female Masturbation 8	Real Female Masturbation 8	1	2001.0			Adult
tt0260320	movie	Repli-Kate	National Lampoon's Repli-Kate	0	2002.0		96	Comedy,Sci-Fi
tt0260325	movie	The Ring of the Buddha	The Ring of the Buddha	0	2002.0		92	Adventure,Documentary,Drama
tt0260328	video	Best Butt Fuck	Best Butt Fuck	1	2000.0		130	Adult
tt0260329	video	True Anal Stories 10	True Anal Stories 10	1	2000.0		125	Adult
tt0260332	movie	The Day I Became a Woman	Roozi ke zan shodam	0	2000.0		74	Comedy,Drama
tt0260362	video	Shane's World 23: Keg Party	Shane's World 23: Keg Party	1	2000.0			Adult
tt0260374	movie	Slammed	Slammed	0	2000.0			
tt0260388	short	Spiking the Tuna	Spiking the Tuna	0	2000.0			Short
tt0260414	movie	Taking Sides	Taking Sides	0	2001.0		108	Drama,History,Music
tt0260419	short	A Telephone Call for Genevieve Snow	A Telephone Call for Genevieve Snow	0	2000.0		22	Short
tt0260426	video	There's Something About Jack 5	There's Something About Jack 5	1	2000.0		100	Adult
tt0260478	video	University Coeds 25	University Coeds 25	1	2001.0			Adult
tt0260481	movie	Up Against Amanda	Up Against Amanda	0	2000.0		102	Drama,Thriller
tt0260500	short	Vergessene Ritter	Vergessene Ritter	0	2000.0		30	Fantasy,Horror,Short
tt0260522	movie	In Desert and Wilderness	W pustyni i w puszczy	0	2001.0		111	Adventure,Family
tt0260553	short	What If...?	What If...?	0	2000.0		20	Short
tt0260555	short	What They Wanted, What They Got	What They Wanted, What They Got	0	2001.0		13	Comedy,Drama,Short
tt0260563	video	White Panty Chronicles 11	White Panty Chronicles 11	1	2000.0			Adult
tt0260592	short	BigLove	BigLove	0	2001.0		10	Comedy,Drama,Short
tt0260594	movie	The Icelandic Dream	Íslenski draumurinn	0	2000.0		90	Comedy,Sport
tt0260596	tvSeries	100 Centre Street	100 Centre Street	0	2001.0	2002	60	Crime,Drama
tt0260598	tvSeries	Arrest & Trial	Arrest & Trial	0	2000.0	2002	30	Crime,Documentary,Mystery
tt0260599	tvSeries	Beyond the Glory	Beyond the Glory	0	2001.0	2005	60	Biography,Documentary,Sport
tt0260601	tvSeries	Brand Spanking New Show	Brand Spanking New Show	0	2000.0		30	Comedy
tt0260602	tvSeries	Buzz Lightyear of Star Command	Buzz Lightyear of Star Command	0	2000.0	2001	30	Action,Adventure,Animation
tt0260604	tvSeries	Chelsea Flower Show	Chelsea Flower Show	0	2000.0		60	Documentary
tt0260611	tvSeries	Down to Earth	Down to Earth	0	2000.0	2005	60	Drama
tt0260615	tvSeries	The Forsyte Saga	The Forsyte Saga	0	2002.0	2003	276	Drama,History,Romance
tt0260620	tvSeries	Gourmet Express	Gourmet Express	0	2000.0			
tt0260623	tvSeries	In Search of	In Search of	0	2002.0	2002		Documentary,Drama,Fantasy
tt0260624	tvSeries	Influences	Influences	0	2000.0			
tt0260629	tvSeries	Late Home Video Show	Late Home Video Show	0	2000.0		30	Comedy
tt0260630	tvSeries	Lily Live!	Lily Live!	0	2000.0		50	Comedy
tt0260632	tvSeries	Le lycée	Le lycée	0	2000.0	2001	52	Drama
tt0260636	tvSeries	Mathieu Corot	Mathieu Corot	0	2000.0		90	
